society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ec7,Ainu,xd635,ainu1240,Hokkaido Ainu,Ainu,MonthlyMeanPrecipitation,94917.25083,,,,
B185,Maidu,xd1110,nort2952,Northeast Maidu,Maiduan,MonthlyMeanPrecipitation,95223.62724,,,,
WNAI56,Maidu,xd1110,nort2952,Northeast Maidu,Maiduan,MonthlyMeanPrecipitation,95223.62724,,,,
B180,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,95250.29751,,,,
Nb4,Yurok,xd1101,yuro1248,Yurok,Algic,MonthlyMeanPrecipitation,95250.29751,,,,
WNAI39,Wiyot,xd1097,wiyo1248,Wiyot,Algic,MonthlyMeanPrecipitation,95250.29751,,,,
Cf1,New Englanders,xd536,stan1293,English,Indo-European,MonthlyMeanPrecipitation,95315.72622,,,,
Si6,Guató,xd1403,guat1253,Guató,,MonthlyMeanPrecipitation,95625.84616,,,,
Eh10,Betsileo,xd687,bets1235,Betsileo,Austronesian,MonthlyMeanPrecipitation,95639.95205,,,,
Eh3,Tanala,xd689,tana1285,Tanala,Austronesian,MonthlyMeanPrecipitation,95639.95205,,,,
SCCS103,Ajie,xd871,ajie1238,Ajië,Austronesian,MonthlyMeanPrecipitation,95858.65084,,,,
Ac1,Ila,xd33,ilaa1246,Ila,Atlantic-Congo,MonthlyMeanPrecipitation,95912.51318,,,,
Ag12,Nankanse,xd247,nank1249,Nankana,Atlantic-Congo,MonthlyMeanPrecipitation,95949.06126,,,,
Ag46,Manprusi,xd284,mamp1244,Mampruli,Atlantic-Congo,MonthlyMeanPrecipitation,95949.06126,,,,
Ad30,Digo,xd99,digo1243,Digo,Atlantic-Congo,MonthlyMeanPrecipitation,96037.25706,,,,
Ad31,Duruma,xd100,duru1249,Duruma,Atlantic-Congo,MonthlyMeanPrecipitation,96037.25706,,,,
Ad37,Teita,xd106,tait1250,Taita,Atlantic-Congo,MonthlyMeanPrecipitation,96037.25706,,,,
B37,Akurio,xd916,akur1238,Akurio,Cariban,MonthlyMeanPrecipitation,96040.72192,,,,
Sc14,Rucuyen,xd1340,waya1269,Wayana,Cariban,MonthlyMeanPrecipitation,96040.72192,,,,
Ng8,Timucua,xd1257,timu1245,Timucua,,MonthlyMeanPrecipitation,96063.33955,,,,
